source,target,strength,connection_type,color_flow,time
nutrients_d3_h19,nutrients_d3_h20,0.8,temporal,positive,92
air_quality_d3_h19,air_quality_d3_h20,0.8,temporal,negative,92
light_d3_h20,light_d3_h21,0.8,temporal,negative,93
humidity_d3_h20,humidity_d3_h21,0.8,temporal,neutral,93
humidity_d3_h21,air_quality_d3_h21,1.5,physiological,cross_sensor,93
nutrients_d3_h20,nutrients_d3_h21,0.8,temporal,positive,93
nutrients_d3_h21,humidity_d3_h21,1.5,physiological,cross_sensor,93
air_quality_d3_h20,air_quality_d3_h21,0.8,temporal,positive,93
light_d3_h21,light_d3_h22,0.8,temporal,negative,94
light_d3_h22,humidity_d3_h22,1.5,physiological,cross_sensor,94
humidity_d3_h21,humidity_d3_h22,0.8,temporal,neutral,94
nutrients_d3_h21,nutrients_d3_h22,0.8,temporal,positive,94
nutrients_d3_h22,air_quality_d3_h22,1.5,physiological,cross_sensor,94
air_quality_d3_h21,air_quality_d3_h22,0.8,temporal,positive,94
light_d3_h22,light_d3_h23,0.8,temporal,negative,95
humidity_d3_h22,humidity_d3_h23,0.8,temporal,neutral,95
nutrients_d3_h22,nutrients_d3_h23,0.8,temporal,positive,95
air_quality_d3_h22,air_quality_d3_h23,0.8,temporal,positive,95
light_d3_h23,light_d4_h0,0.8,temporal,negative,96
humidity_d3_h23,humidity_d4_h0,0.8,temporal,neutral,96
nutrients_d3_h23,nutrients_d4_h0,0.8,temporal,positive,96
air_quality_d3_h23,air_quality_d4_h0,0.8,temporal,positive,96
light_d4_h0,light_d4_h1,0.8,temporal,negative,97
humidity_d4_h0,humidity_d4_h1,0.8,temporal,neutral,97
nutrients_d4_h0,nutrients_d4_h1,0.8,temporal,positive,97
air_quality_d4_h0,air_quality_d4_h1,0.8,temporal,positive,97
light_d4_h1,light_d4_h2,0.8,temporal,negative,98
humidity_d4_h1,humidity_d4_h2,0.8,temporal,neutral,98
nutrients_d4_h1,nutrients_d4_h2,0.8,temporal,positive,98
air_quality_d4_h1,air_quality_d4_h2,0.8,temporal,negative,98
light_d4_h2,light_d4_h3,0.8,temporal,negative,99
humidity_d4_h2,humidity_d4_h3,0.8,temporal,neutral,99
nutrients_d4_h2,nutrients_d4_h3,0.8,temporal,positive,99
air_quality_d4_h2,air_quality_d4_h3,0.8,temporal,neutral,99
light_d4_h3,light_d4_h4,0.8,temporal,negative,100
humidity_d4_h3,humidity_d4_h4,0.8,temporal,neutral,100
nutrients_d4_h3,nutrients_d4_h4,0.8,temporal,positive,100
air_quality_d4_h3,air_quality_d4_h4,0.8,temporal,neutral,100
light_d4_h4,light_d4_h5,0.8,temporal,negative,101
humidity_d4_h4,humidity_d4_h5,0.8,temporal,positive,101
nutrients_d4_h4,nutrients_d4_h5,0.8,temporal,positive,101
air_quality_d4_h4,air_quality_d4_h5,0.8,temporal,neutral,101
light_d4_h5,light_d4_h6,0.8,temporal,neutral,102
humidity_d4_h5,humidity_d4_h6,0.8,temporal,positive,102
nutrients_d4_h5,nutrients_d4_h6,0.8,temporal,positive,102
air_quality_d4_h5,air_quality_d4_h6,0.8,temporal,negative,102
light_d4_h6,light_d4_h7,0.8,temporal,neutral,103
humidity_d4_h6,humidity_d4_h7,0.8,temporal,positive,103
nutrients_d4_h6,nutrients_d4_h7,0.8,temporal,positive,103
air_quality_d4_h6,air_quality_d4_h7,0.8,temporal,positive,103
light_d4_h7,light_d4_h8,0.8,temporal,neutral,104
humidity_d4_h7,humidity_d4_h8,0.8,temporal,neutral,104
nutrients_d4_h7,nutrients_d4_h8,0.8,temporal,positive,104
air_quality_d4_h7,air_quality_d4_h8,0.8,temporal,neutral,104
light_d4_h8,light_d4_h9,0.8,temporal,neutral,105
humidity_d4_h8,humidity_d4_h9,0.8,temporal,neutral,105
nutrients_d4_h8,nutrients_d4_h9,0.8,temporal,positive,105
air_quality_d4_h8,air_quality_d4_h9,0.8,temporal,positive,105
light_d4_h9,light_d4_h10,0.8,temporal,neutral,106
humidity_d4_h9,humidity_d4_h10,0.8,temporal,neutral,106
nutrients_d4_h9,nutrients_d4_h10,0.8,temporal,positive,106
air_quality_d4_h9,air_quality_d4_h10,0.8,temporal,neutral,106
light_d4_h10,light_d4_h11,0.8,temporal,neutral,107
humidity_d4_h10,humidity_d4_h11,0.8,temporal,neutral,107
nutrients_d4_h10,nutrients_d4_h11,0.8,temporal,positive,107
air_quality_d4_h10,air_quality_d4_h11,0.8,temporal,neutral,107
light_d4_h11,light_d4_h12,0.8,temporal,neutral,108
humidity_d4_h11,humidity_d4_h12,0.8,temporal,neutral,108
nutrients_d4_h11,nutrients_d4_h12,0.8,temporal,positive,108
air_quality_d4_h11,air_quality_d4_h12,0.8,temporal,neutral,108
light_d4_h12,light_d4_h13,0.8,temporal,neutral,109
humidity_d4_h12,humidity_d4_h13,0.8,temporal,neutral,109
nutrients_d4_h12,nutrients_d4_h13,0.8,temporal,positive,109
air_quality_d4_h12,air_quality_d4_h13,0.8,temporal,positive,109
light_d4_h13,light_d4_h14,0.8,temporal,neutral,110
humidity_d4_h13,humidity_d4_h14,0.8,temporal,neutral,110
nutrients_d4_h13,nutrients_d4_h14,0.8,temporal,positive,110
air_quality_d4_h13,air_quality_d4_h14,0.8,temporal,positive,110
light_d4_h14,light_d4_h15,0.8,temporal,neutral,111
humidity_d4_h14,humidity_d4_h15,0.8,temporal,neutral,111
nutrients_d4_h14,nutrients_d4_h15,0.8,temporal,positive,111
air_quality_d4_h14,air_quality_d4_h15,0.8,temporal,positive,111
light_d4_h15,light_d4_h16,0.8,temporal,neutral,112
humidity_d4_h15,humidity_d4_h16,0.8,temporal,positive,112
nutrients_d4_h15,nutrients_d4_h16,0.8,temporal,positive,112
air_quality_d4_h15,air_quality_d4_h16,0.8,temporal,neutral,112
light_d4_h16,light_d4_h17,0.8,temporal,neutral,113
humidity_d4_h16,humidity_d4_h17,0.8,temporal,positive,113
nutrients_d4_h16,nutrients_d4_h17,0.8,temporal,neutral,113
air_quality_d4_h16,air_quality_d4_h17,0.8,temporal,neutral,113
light_d4_h17,light_d4_h18,0.8,temporal,neutral,114
humidity_d4_h17,humidity_d4_h18,0.8,temporal,positive,114
nutrients_d4_h17,nutrients_d4_h18,0.8,temporal,positive,114
air_quality_d4_h17,air_quality_d4_h18,0.8,temporal,neutral,114
light_d4_h18,light_d4_h19,0.8,temporal,negative,115
humidity_d4_h18,humidity_d4_h19,0.8,temporal,positive,115
nutrients_d4_h18,nutrients_d4_h19,0.8,temporal,positive,115
air_quality_d4_h18,air_quality_d4_h19,0.8,temporal,positive,115
light_d4_h19,light_d4_h20,0.8,temporal,negative,116
humidity_d4_h19,humidity_d4_h20,0.8,temporal,neutral,116
nutrients_d4_h19,nutrients_d4_h20,0.8,temporal,positive,116
air_quality_d4_h19,air_quality_d4_h20,0.8,temporal,positive,116
light_d4_h20,light_d4_h21,0.8,temporal,negative,117
humidity_d4_h20,humidity_d4_h21,0.8,temporal,neutral,117
nutrients_d4_h20,nutrients_d4_h21,0.8,temporal,positive,117
air_quality_d4_h20,air_quality_d4_h21,0.8,temporal,negative,117
light_d4_h21,light_d4_h22,0.8,temporal,negative,118
humidity_d4_h21,humidity_d4_h22,0.8,temporal,neutral,118
nutrients_d4_h21,nutrients_d4_h22,0.8,temporal,positive,118
air_quality_d4_h21,air_quality_d4_h22,0.8,temporal,positive,118
light_d4_h22,light_d4_h23,0.8,temporal,negative,119
humidity_d4_h22,humidity_d4_h23,0.8,temporal,neutral,119
nutrients_d4_h22,nutrients_d4_h23,0.8,temporal,positive,119
air_quality_d4_h22,air_quality_d4_h23,0.8,temporal,positive,119
light_d4_h23,light_d5_h0,0.8,temporal,negative,120
humidity_d4_h23,humidity_d5_h0,0.8,temporal,neutral,120
nutrients_d4_h23,nutrients_d5_h0,0.8,temporal,positive,120
air_quality_d4_h23,air_quality_d5_h0,0.8,temporal,neutral,120
light_d5_h0,light_d5_h1,0.8,temporal,negative,121
humidity_d5_h0,humidity_d5_h1,0.8,temporal,neutral,121
nutrients_d5_h0,nutrients_d5_h1,0.8,temporal,positive,121
air_quality_d5_h0,air_quality_d5_h1,0.8,temporal,positive,121
light_d5_h1,light_d5_h2,0.8,temporal,negative,122
humidity_d5_h1,humidity_d5_h2,0.8,temporal,neutral,122
nutrients_d5_h1,nutrients_d5_h2,0.8,temporal,positive,122
air_quality_d5_h1,air_quality_d5_h2,0.8,temporal,negative,122
light_d5_h2,light_d5_h3,0.8,temporal,negative,123
humidity_d5_h2,humidity_d5_h3,0.8,temporal,neutral,123
nutrients_d5_h2,nutrients_d5_h3,0.8,temporal,positive,123
air_quality_d5_h2,air_quality_d5_h3,0.8,temporal,positive,123
light_d5_h3,light_d5_h4,0.8,temporal,negative,124
humidity_d5_h3,humidity_d5_h4,0.8,temporal,neutral,124
nutrients_d5_h3,nutrients_d5_h4,0.8,temporal,positive,124
air_quality_d5_h3,air_quality_d5_h4,0.8,temporal,neutral,124
light_d5_h4,light_d5_h5,0.8,temporal,negative,125
humidity_d5_h4,humidity_d5_h5,0.8,temporal,positive,125
nutrients_d5_h4,nutrients_d5_h5,0.8,temporal,positive,125
air_quality_d5_h4,air_quality_d5_h5,0.8,temporal,positive,125
light_d5_h5,light_d5_h6,0.8,temporal,neutral,126
humidity_d5_h5,humidity_d5_h6,0.8,temporal,neutral,126
nutrients_d5_h5,nutrients_d5_h6,0.8,temporal,positive,126
air_quality_d5_h5,air_quality_d5_h6,0.8,temporal,neutral,126
light_d5_h6,light_d5_h7,0.8,temporal,neutral,127
humidity_d5_h6,humidity_d5_h7,0.8,temporal,positive,127
nutrients_d5_h6,nutrients_d5_h7,0.8,temporal,neutral,127
air_quality_d5_h6,air_quality_d5_h7,0.8,temporal,positive,127
light_d5_h7,light_d5_h8,0.8,temporal,neutral,128
humidity_d5_h7,humidity_d5_h8,0.8,temporal,neutral,128
nutrients_d5_h7,nutrients_d5_h8,0.8,temporal,neutral,128
air_quality_d5_h7,air_quality_d5_h8,0.8,temporal,positive,128
light_d5_h8,light_d5_h9,0.8,temporal,neutral,129
humidity_d5_h8,humidity_d5_h9,0.8,temporal,neutral,129
nutrients_d5_h8,nutrients_d5_h9,0.8,temporal,positive,129
air_quality_d5_h8,air_quality_d5_h9,0.8,temporal,positive,129
light_d5_h9,light_d5_h10,0.8,temporal,neutral,130
humidity_d5_h9,humidity_d5_h10,0.8,temporal,neutral,130
nutrients_d5_h9,nutrients_d5_h10,0.8,temporal,positive,130
air_quality_d5_h9,air_quality_d5_h10,0.8,temporal,positive,130
light_d5_h10,light_d5_h11,0.8,temporal,neutral,131
humidity_d5_h10,humidity_d5_h11,0.8,temporal,neutral,131
nutrients_d5_h10,nutrients_d5_h11,0.8,temporal,positive,131
air_quality_d5_h10,air_quality_d5_h11,0.8,temporal,positive,131
light_d5_h11,light_d5_h12,0.8,temporal,neutral,132
humidity_d5_h11,humidity_d5_h12,0.8,temporal,neutral,132
nutrients_d5_h11,nutrients_d5_h12,0.8,temporal,positive,132
air_quality_d5_h11,air_quality_d5_h12,0.8,temporal,neutral,132
light_d5_h12,light_d5_h13,0.8,temporal,neutral,133
humidity_d5_h12,humidity_d5_h13,0.8,temporal,neutral,133
nutrients_d5_h12,nutrients_d5_h13,0.8,temporal,positive,133
air_quality_d5_h12,air_quality_d5_h13,0.8,temporal,positive,133
light_d5_h13,light_d5_h14,0.8,temporal,neutral,134
humidity_d5_h13,humidity_d5_h14,0.8,temporal,neutral,134
nutrients_d5_h13,nutrients_d5_h14,0.8,temporal,positive,134
air_quality_d5_h13,air_quality_d5_h14,0.8,temporal,neutral,134
light_d5_h14,light_d5_h15,0.8,temporal,neutral,135
humidity_d5_h14,humidity_d5_h15,0.8,temporal,neutral,135
nutrients_d5_h14,nutrients_d5_h15,0.8,temporal,positive,135
air_quality_d5_h14,air_quality_d5_h15,0.8,temporal,positive,135
light_d5_h15,light_d5_h16,0.8,temporal,neutral,136
humidity_d5_h15,humidity_d5_h16,0.8,temporal,neutral,136
nutrients_d5_h15,nutrients_d5_h16,0.8,temporal,positive,136
air_quality_d5_h15,air_quality_d5_h16,0.8,temporal,positive,136
light_d5_h16,light_d5_h17,0.8,temporal,neutral,137
humidity_d5_h16,humidity_d5_h17,0.8,temporal,positive,137
nutrients_d5_h16,nutrients_d5_h17,0.8,temporal,positive,137
air_quality_d5_h16,air_quality_d5_h17,0.8,temporal,positive,137
light_d5_h17,light_d5_h18,0.8,temporal,neutral,138
humidity_d5_h17,humidity_d5_h18,0.8,temporal,positive,138
nutrients_d5_h17,nutrients_d5_h18,0.8,temporal,positive,138
air_quality_d5_h17,air_quality_d5_h18,0.8,temporal,neutral,138
light_d5_h18,light_d5_h19,0.8,temporal,negative,139
humidity_d5_h18,humidity_d5_h19,0.8,temporal,neutral,139
nutrients_d5_h18,nutrients_d5_h19,0.8,temporal,positive,139
air_quality_d5_h18,air_quality_d5_h19,0.8,temporal,neutral,139
light_d5_h19,light_d5_h20,0.8,temporal,negative,140
humidity_d5_h19,humidity_d5_h20,0.8,temporal,neutral,140
nutrients_d5_h19,nutrients_d5_h20,0.8,temporal,positive,140
air_quality_d5_h19,air_quality_d5_h20,0.8,temporal,neutral,140
light_d5_h20,light_d5_h21,0.8,temporal,negative,141
humidity_d5_h20,humidity_d5_h21,0.8,temporal,neutral,141
nutrients_d5_h20,nutrients_d5_h21,0.8,temporal,positive,141
air_quality_d5_h20,air_quality_d5_h21,0.8,temporal,positive,141
light_d5_h21,light_d5_h22,0.8,temporal,negative,142
humidity_d5_h21,humidity_d5_h22,0.8,temporal,neutral,142
nutrients_d5_h21,nutrients_d5_h22,0.8,temporal,positive,142
air_quality_d5_h21,air_quality_d5_h22,0.8,temporal,neutral,142
light_d5_h22,light_d5_h23,0.8,temporal,negative,143
humidity_d5_h22,humidity_d5_h23,0.8,temporal,neutral,143
nutrients_d5_h22,nutrients_d5_h23,0.8,temporal,positive,143
air_quality_d5_h22,air_quality_d5_h23,0.8,temporal,positive,143
light_d5_h23,light_d6_h0,0.8,temporal,negative,144
humidity_d5_h23,humidity_d6_h0,0.8,temporal,neutral,144
nutrients_d5_h23,nutrients_d6_h0,0.8,temporal,positive,144
air_quality_d5_h23,air_quality_d6_h0,0.8,temporal,neutral,144
light_d6_h0,light_d6_h1,0.8,temporal,negative,145
humidity_d6_h0,humidity_d6_h1,0.8,temporal,neutral,145
nutrients_d6_h0,nutrients_d6_h1,0.8,temporal,positive,145
air_quality_d6_h0,air_quality_d6_h1,0.8,temporal,neutral,145
light_d6_h1,light_d6_h2,0.8,temporal,negative,146
humidity_d6_h1,humidity_d6_h2,0.8,temporal,neutral,146
nutrients_d6_h1,nutrients_d6_h2,0.8,temporal,positive,146
air_quality_d6_h1,air_quality_d6_h2,0.8,temporal,positive,146
light_d6_h2,light_d6_h3,0.8,temporal,negative,147
humidity_d6_h2,humidity_d6_h3,0.8,temporal,neutral,147
nutrients_d6_h2,nutrients_d6_h3,0.8,temporal,positive,147
air_quality_d6_h2,air_quality_d6_h3,0.8,temporal,positive,147
light_d6_h3,light_d6_h4,0.8,temporal,negative,148
humidity_d6_h3,humidity_d6_h4,0.8,temporal,neutral,148
nutrients_d6_h3,nutrients_d6_h4,0.8,temporal,positive,148
air_quality_d6_h3,air_quality_d6_h4,0.8,temporal,positive,148
light_d6_h4,light_d6_h5,0.8,temporal,negative,149
humidity_d6_h4,humidity_d6_h5,0.8,temporal,positive,149
nutrients_d6_h4,nutrients_d6_h5,0.8,temporal,positive,149
air_quality_d6_h4,air_quality_d6_h5,0.8,temporal,positive,149
light_d6_h5,light_d6_h6,0.8,temporal,neutral,150
humidity_d6_h5,humidity_d6_h6,0.8,temporal,neutral,150
nutrients_d6_h5,nutrients_d6_h6,0.8,temporal,positive,150
air_quality_d6_h5,air_quality_d6_h6,0.8,temporal,neutral,150
light_d6_h6,light_d6_h7,0.8,temporal,neutral,151
humidity_d6_h6,humidity_d6_h7,0.8,temporal,positive,151
nutrients_d6_h6,nutrients_d6_h7,0.8,temporal,positive,151
air_quality_d6_h6,air_quality_d6_h7,0.8,temporal,positive,151
light_d6_h7,light_d6_h8,0.8,temporal,neutral,152
humidity_d6_h7,humidity_d6_h8,0.8,temporal,neutral,152
nutrients_d6_h7,nutrients_d6_h8,0.8,temporal,positive,152
air_quality_d6_h7,air_quality_d6_h8,0.8,temporal,positive,152
light_d6_h8,light_d6_h9,0.8,temporal,neutral,153
humidity_d6_h8,humidity_d6_h9,0.8,temporal,neutral,153
nutrients_d6_h8,nutrients_d6_h9,0.8,temporal,positive,153
air_quality_d6_h8,air_quality_d6_h9,0.8,temporal,positive,153
light_d6_h9,light_d6_h10,0.8,temporal,neutral,154
humidity_d6_h9,humidity_d6_h10,0.8,temporal,neutral,154
nutrients_d6_h9,nutrients_d6_h10,0.8,temporal,positive,154
air_quality_d6_h9,air_quality_d6_h10,0.8,temporal,negative,154
light_d6_h10,light_d6_h11,0.8,temporal,neutral,155
humidity_d6_h10,humidity_d6_h11,0.8,temporal,neutral,155
nutrients_d6_h10,nutrients_d6_h11,0.8,temporal,positive,155
air_quality_d6_h10,air_quality_d6_h11,0.8,temporal,positive,155
light_d6_h11,light_d6_h12,0.8,temporal,neutral,156
humidity_d6_h11,humidity_d6_h12,0.8,temporal,neutral,156
nutrients_d6_h11,nutrients_d6_h12,0.8,temporal,positive,156
air_quality_d6_h11,air_quality_d6_h12,0.8,temporal,neutral,156
light_d6_h12,light_d6_h13,0.8,temporal,neutral,157
humidity_d6_h12,humidity_d6_h13,0.8,temporal,neutral,157
nutrients_d6_h12,nutrients_d6_h13,0.8,temporal,positive,157
air_quality_d6_h12,air_quality_d6_h13,0.8,temporal,positive,157
light_d6_h13,light_d6_h14,0.8,temporal,neutral,158
humidity_d6_h13,humidity_d6_h14,0.8,temporal,neutral,158
nutrients_d6_h13,nutrients_d6_h14,0.8,temporal,positive,158
air_quality_d6_h13,air_quality_d6_h14,0.8,temporal,neutral,158
light_d6_h14,light_d6_h15,0.8,temporal,neutral,159
humidity_d6_h14,humidity_d6_h15,0.8,temporal,neutral,159
nutrients_d6_h14,nutrients_d6_h15,0.8,temporal,positive,159
air_quality_d6_h14,air_quality_d6_h15,0.8,temporal,positive,159
light_d6_h15,light_d6_h16,0.8,temporal,neutral,160
humidity_d6_h15,humidity_d6_h16,0.8,temporal,neutral,160
nutrients_d6_h15,nutrients_d6_h16,0.8,temporal,positive,160
air_quality_d6_h15,air_quality_d6_h16,0.8,temporal,positive,160
light_d6_h16,light_d6_h17,0.8,temporal,neutral,161
humidity_d6_h16,humidity_d6_h17,0.8,temporal,positive,161
nutrients_d6_h16,nutrients_d6_h17,0.8,temporal,positive,161
air_quality_d6_h16,air_quality_d6_h17,0.8,temporal,positive,161
light_d6_h17,light_d6_h18,0.8,temporal,neutral,162
humidity_d6_h17,humidity_d6_h18,0.8,temporal,positive,162
nutrients_d6_h17,nutrients_d6_h18,0.8,temporal,positive,162
air_quality_d6_h17,air_quality_d6_h18,0.8,temporal,positive,162
light_d6_h18,light_d6_h19,0.8,temporal,negative,163
humidity_d6_h18,humidity_d6_h19,0.8,temporal,neutral,163
nutrients_d6_h18,nutrients_d6_h19,0.8,temporal,positive,163
air_quality_d6_h18,air_quality_d6_h19,0.8,temporal,positive,163
light_d6_h19,light_d6_h20,0.8,temporal,negative,164
humidity_d6_h19,humidity_d6_h20,0.8,temporal,positive,164
nutrients_d6_h19,nutrients_d6_h20,0.8,temporal,positive,164
air_quality_d6_h19,air_quality_d6_h20,0.8,temporal,positive,164
light_d6_h20,light_d6_h21,0.8,temporal,negative,165
humidity_d6_h20,humidity_d6_h21,0.8,temporal,neutral,165
nutrients_d6_h20,nutrients_d6_h21,0.8,temporal,positive,165
air_quality_d6_h20,air_quality_d6_h21,0.8,temporal,neutral,165
light_d6_h21,light_d6_h22,0.8,temporal,negative,166
humidity_d6_h21,humidity_d6_h22,0.8,temporal,neutral,166
nutrients_d6_h21,nutrients_d6_h22,0.8,temporal,positive,166
air_quality_d6_h21,air_quality_d6_h22,0.8,temporal,neutral,166
light_d6_h22,light_d6_h23,0.8,temporal,negative,167
humidity_d6_h22,humidity_d6_h23,0.8,temporal,neutral,167
nutrients_d6_h22,nutrients_d6_h23,0.8,temporal,positive,167
air_quality_d6_h22,air_quality_d6_h23,0.8,temporal,negative,167
light_d6_h23,light_d7_h0,0.8,temporal,negative,168
humidity_d6_h23,humidity_d7_h0,0.8,temporal,neutral,168
nutrients_d6_h23,nutrients_d7_h0,0.8,temporal,positive,168
air_quality_d6_h23,air_quality_d7_h0,0.8,temporal,positive,168
light_d7_h0,light_d7_h1,0.8,temporal,negative,169
humidity_d7_h0,humidity_d7_h1,0.8,temporal,neutral,169
nutrients_d7_h0,nutrients_d7_h1,0.8,temporal,positive,169
air_quality_d7_h0,air_quality_d7_h1,0.8,temporal,positive,169
light_d7_h1,light_d7_h2,0.8,temporal,negative,170
humidity_d7_h1,humidity_d7_h2,0.8,temporal,neutral,170
nutrients_d7_h1,nutrients_d7_h2,0.8,temporal,positive,170
air_quality_d7_h1,air_quality_d7_h2,0.8,temporal,neutral,170
light_d7_h2,light_d7_h3,0.8,temporal,negative,171
humidity_d7_h2,humidity_d7_h3,0.8,temporal,neutral,171
nutrients_d7_h2,nutrients_d7_h3,0.8,temporal,positive,171
air_quality_d7_h2,air_quality_d7_h3,0.8,temporal,neutral,171
light_d7_h3,light_d7_h4,0.8,temporal,negative,172
humidity_d7_h3,humidity_d7_h4,0.8,temporal,neutral,172
nutrients_d7_h3,nutrients_d7_h4,0.8,temporal,positive,172
air_quality_d7_h3,air_quality_d7_h4,0.8,temporal,neutral,172
light_d7_h4,light_d7_h5,0.8,temporal,negative,173
humidity_d7_h4,humidity_d7_h5,0.8,temporal,neutral,173
nutrients_d7_h4,nutrients_d7_h5,0.8,temporal,positive,173
air_quality_d7_h4,air_quality_d7_h5,0.8,temporal,positive,173
light_d7_h5,light_d7_h6,0.8,temporal,neutral,174
humidity_d7_h5,humidity_d7_h6,0.8,temporal,neutral,174
nutrients_d7_h5,nutrients_d7_h6,0.8,temporal,positive,174
air_quality_d7_h5,air_quality_d7_h6,0.8,temporal,neutral,174
light_d7_h6,light_d7_h7,0.8,temporal,neutral,175
humidity_d7_h6,humidity_d7_h7,0.8,temporal,positive,175
nutrients_d7_h6,nutrients_d7_h7,0.8,temporal,positive,175
air_quality_d7_h6,air_quality_d7_h7,0.8,temporal,positive,175
light_d7_h7,light_d7_h8,0.8,temporal,neutral,176
humidity_d7_h7,humidity_d7_h8,0.8,temporal,neutral,176
nutrients_d7_h7,nutrients_d7_h8,0.8,temporal,positive,176
air_quality_d7_h7,air_quality_d7_h8,0.8,temporal,negative,176
light_d7_h8,light_d7_h9,0.8,temporal,neutral,177
humidity_d7_h8,humidity_d7_h9,0.8,temporal,neutral,177
nutrients_d7_h8,nutrients_d7_h9,0.8,temporal,positive,177
air_quality_d7_h8,air_quality_d7_h9,0.8,temporal,positive,177
light_d7_h9,light_d7_h10,0.8,temporal,neutral,178
humidity_d7_h9,humidity_d7_h10,0.8,temporal,neutral,178
nutrients_d7_h9,nutrients_d7_h10,0.8,temporal,positive,178
air_quality_d7_h9,air_quality_d7_h10,0.8,temporal,positive,178
light_d7_h10,light_d7_h11,0.8,temporal,neutral,179
humidity_d7_h10,humidity_d7_h11,0.8,temporal,neutral,179
nutrients_d7_h10,nutrients_d7_h11,0.8,temporal,positive,179
air_quality_d7_h10,air_quality_d7_h11,0.8,temporal,neutral,179
light_d7_h11,light_d7_h12,0.8,temporal,neutral,180
humidity_d7_h11,humidity_d7_h12,0.8,temporal,neutral,180
nutrients_d7_h11,nutrients_d7_h12,0.8,temporal,positive,180
air_quality_d7_h11,air_quality_d7_h12,0.8,temporal,neutral,180
light_d7_h12,light_d7_h13,0.8,temporal,neutral,181
humidity_d7_h12,humidity_d7_h13,0.8,temporal,neutral,181
nutrients_d7_h12,nutrients_d7_h13,0.8,temporal,positive,181
air_quality_d7_h12,air_quality_d7_h13,0.8,temporal,neutral,181
light_d7_h13,light_d7_h14,0.8,temporal,neutral,182
humidity_d7_h13,humidity_d7_h14,0.8,temporal,neutral,182
nutrients_d7_h13,nutrients_d7_h14,0.8,temporal,positive,182
air_quality_d7_h13,air_quality_d7_h14,0.8,temporal,positive,182
light_d7_h14,light_d7_h15,0.8,temporal,neutral,183
humidity_d7_h14,humidity_d7_h15,0.8,temporal,neutral,183
nutrients_d7_h14,nutrients_d7_h15,0.8,temporal,positive,183
air_quality_d7_h14,air_quality_d7_h15,0.8,temporal,neutral,183
light_d7_h15,light_d7_h16,0.8,temporal,neutral,184
humidity_d7_h15,humidity_d7_h16,0.8,temporal,neutral,184
nutrients_d7_h15,nutrients_d7_h16,0.8,temporal,positive,184
air_quality_d7_h15,air_quality_d7_h16,0.8,temporal,negative,184
light_d7_h16,light_d7_h17,0.8,temporal,neutral,185
humidity_d7_h16,humidity_d7_h17,0.8,temporal,positive,185
nutrients_d7_h16,nutrients_d7_h17,0.8,temporal,positive,185
air_quality_d7_h16,air_quality_d7_h17,0.8,temporal,neutral,185
light_d7_h17,light_d7_h18,0.8,temporal,neutral,186
humidity_d7_h17,humidity_d7_h18,0.8,temporal,positive,186
nutrients_d7_h17,nutrients_d7_h18,0.8,temporal,positive,186
air_quality_d7_h17,air_quality_d7_h18,0.8,temporal,neutral,186
light_d7_h18,light_d7_h19,0.8,temporal,negative,187
humidity_d7_h18,humidity_d7_h19,0.8,temporal,positive,187
nutrients_d7_h18,nutrients_d7_h19,0.8,temporal,positive,187
air_quality_d7_h18,air_quality_d7_h19,0.8,temporal,neutral,187
light_d7_h19,light_d7_h20,0.8,temporal,negative,188
humidity_d7_h19,humidity_d7_h20,0.8,temporal,positive,188
nutrients_d7_h19,nutrients_d7_h20,0.8,temporal,positive,188
air_quality_d7_h19,air_quality_d7_h20,0.8,temporal,positive,188
light_d7_h20,light_d7_h21,0.8,temporal,negative,189
humidity_d7_h20,humidity_d7_h21,0.8,temporal,neutral,189
nutrients_d7_h20,nutrients_d7_h21,0.8,temporal,positive,189
air_quality_d7_h20,air_quality_d7_h21,0.8,temporal,positive,189
light_d7_h21,light_d7_h22,0.8,temporal,negative,190
humidity_d7_h21,humidity_d7_h22,0.8,temporal,neutral,190
nutrients_d7_h21,nutrients_d7_h22,0.8,temporal,positive,190
air_quality_d7_h21,air_quality_d7_h22,0.8,temporal,positive,190
light_d7_h22,light_d7_h23,0.8,temporal,negative,191
humidity_d7_h22,humidity_d7_h23,0.8,temporal,neutral,191
nutrients_d7_h22,nutrients_d7_h23,0.8,temporal,positive,191
air_quality_d7_h22,air_quality_d7_h23,0.8,temporal,neutral,191
light_d7_h23,light_d8_h0,0.8,temporal,negative,192
humidity_d7_h23,humidity_d8_h0,0.8,temporal,neutral,192
nutrients_d7_h23,nutrients_d8_h0,0.8,temporal,positive,192
air_quality_d7_h23,air_quality_d8_h0,0.8,temporal,positive,192
light_d8_h0,light_d8_h1,0.8,temporal,negative,193
humidity_d8_h0,humidity_d8_h1,0.8,temporal,neutral,193
nutrients_d8_h0,nutrients_d8_h1,0.8,temporal,positive,193
air_quality_d8_h0,air_quality_d8_h1,0.8,temporal,neutral,193
light_d8_h1,light_d8_h2,0.8,temporal,negative,194
humidity_d8_h1,humidity_d8_h2,0.8,temporal,neutral,194
nutrients_d8_h1,nutrients_d8_h2,0.8,temporal,positive,194
air_quality_d8_h1,air_quality_d8_h2,0.8,temporal,positive,194
light_d8_h2,light_d8_h3,0.8,temporal,negative,195
humidity_d8_h2,humidity_d8_h3,0.8,temporal,neutral,195
nutrients_d8_h2,nutrients_d8_h3,0.8,temporal,neutral,195
